,uv,temp,drain_piezo,humidity,maxdailygust,soilmoisture2,solarradiation
127,0.0,21.0,0.0,49.0,16.560149759999998,30.0,105.84
128,0.0,20.88888888888889,0.0,49.0,16.560149759999998,30.0,97.87
129,0.0,20.88888888888889,0.0,49.0,16.560149759999998,30.0,91.48
130,0.0,20.777777777777786,0.0,49.0,16.560149759999998,30.0,88.48
131,0.0,20.777777777777786,0.0,49.0,16.560149759999998,30.0,85.95
132,0.0,20.72222222222222,0.0,50.0,16.560149759999998,30.0,85.48
133,0.0,20.72222222222222,0.0,49.0,16.560149759999998,30.0,85.32
134,0.0,20.777777777777786,0.0,50.0,16.560149759999998,30.0,85.4
135,0.0,20.72222222222222,0.0,50.0,16.560149759999998,30.0,85.56
136,0.0,20.72222222222222,0.0,51.0,16.560149759999998,30.0,86.5
137,0.0,20.72222222222222,0.0,50.0,16.560149759999998,30.0,86.42
138,0.0,20.611111111111107,0.0,51.0,16.560149759999998,30.0,85.24
139,0.0,20.611111111111107,0.0,51.0,16.560149759999998,30.0,82.79
140,0.0,20.611111111111107,0.0,51.0,16.560149759999998,30.0,79.72
141,0.0,20.611111111111107,0.0,51.0,16.560149759999998,30.0,77.66
142,0.0,20.500000000000004,0.0,51.0,16.560149759999998,30.0,74.19
143,0.0,20.500000000000004,0.0,51.0,16.560149759999998,30.0,71.51
144,0.0,20.500000000000004,0.0,52.0,16.560149759999998,30.0,69.14
145,0.0,20.500000000000004,0.0,53.0,16.560149759999998,30.0,66.38
146,0.0,20.500000000000004,0.0,52.0,16.560149759999998,30.0,64.72
147,0.0,20.500000000000004,0.0,53.0,16.560149759999998,30.0,62.27
148,0.0,20.38888888888889,0.0,53.0,16.560149759999998,30.0,59.75
149,0.0,20.38888888888889,0.0,53.0,16.560149759999998,30.0,58.09
150,0.0,20.38888888888889,0.0,53.0,16.560149759999998,30.0,56.83
151,0.0,20.38888888888889,0.0,53.0,16.560149759999998,30.0,56.12
152,0.0,20.38888888888889,0.0,53.0,16.560149759999998,30.0,55.88
153,0.0,20.38888888888889,0.0,53.0,16.560149759999998,30.0,56.12
154,0.0,20.38888888888889,0.0,54.0,16.560149759999998,30.0,56.83
155,0.0,20.27777777777778,0.0,54.0,16.560149759999998,30.0,57.62
156,0.0,20.27777777777778,0.0,54.0,16.560149759999998,30.0,57.62
