Stationsindex; Höhe in m;Breite   ;Länge    ;Name                                                                            ;Bundesland                                                                
          656;       607;    51.72;    10.60;Braunlage                                                                       ;Niedersachsen                                                             
          662;        81;    52.29;    10.45;Braunschweig                                                                    ;Niedersachsen                                                             
          691;         4;    53.05;     8.80;Bremen                                                                          ;Bremen                                                                    
          701;         6;    53.53;     8.58;Bremerhaven                                                                     ;Bremen                                                                    
          704;        11;    53.45;     9.14;Bremervörde                                                                     ;Niedersachsen                                                             
          755;       340;    49.52;     9.32;Buchen, Kr. Neckar-Odenwald                                                     ;Baden-Württemberg                                                         
          757;       445;    47.96;     8.00;Buchenbach                                                                      ;Baden-Württemberg                                                         
          760;        83;    53.36;     9.94;Rosengarten-Klecken                                                             ;Niedersachsen                                                             
          766;       477;    50.17;     7.06;Büchel-Alflen                                                                   ;Rheinland-Pfalz                                                           
          769;        68;    52.28;     9.09;Bückeburg                                                                       ;Niedersachsen                                                             
          817;       293;    51.03;     8.82;Burgwald-Bottendorf                                                             ;Hessen                                                                    
          840;       895;    50.43;    12.61;Carlsfeld                                                                       ;Sachsen                                                                   
          850;        45;    52.60;    10.03;Celle                                                                           ;Niedersachsen                                                             
          853;       416;    50.79;    12.87;Chemnitz                                                                        ;Sachsen                                                                   
          856;       551;    47.88;    12.54;Chieming                                                                        ;Bayern                                                                    
          860;        80;    52.27;    10.02;Algermissen-Groß Lobke                                                          ;Niedersachsen                                                             
          867;       344;    50.31;    10.97;Lautertal-Oberlauter                                                            ;Bayern                                                                    
          880;        69;    51.78;    14.32;Cottbus                                                                         ;Brandenburg                                                               
          891;         5;    53.87;     8.71;Cuxhaven                                                                        ;Niedersachsen                                                             
          896;       170;    51.08;    10.86;Dachwig                                                                         ;Thüringen                                                                 
          917;       162;    49.88;     8.68;Darmstadt                                                                       ;Hessen                                                                    
          953;       480;    49.76;     7.05;Deuselbach                                                                      ;Rheinland-Pfalz                                                           
          963;        38;    52.59;     8.34;Diepholz                                                                        ;Niedersachsen                                                             
          983;       419;    48.56;    10.56;Dillingen/Donau-Fristingen                                                      ;Bayern                                                                    
          991;       359;    50.91;    13.71;Dippoldiswalde-Reinberg                                                         ;Sachsen                                                                   
         1001;        97;    51.65;    13.57;Doberlug-Kirchhain                                                              ;Brandenburg                                                               
         1048;       228;    51.13;    13.75;Dresden-Klotzsche                                                               ;Sachsen                                                                   
         1050;       112;    51.02;    13.85;Dresden-Hosterwitz                                                              ;Sachsen                                                                   
         1052;        80;    52.22;    12.16;Möckern-Drewitz                                                                 ;Sachsen-Anhalt                                                            
         1072;       107;    49.47;     8.19;Dürkheim, Bad                                                                   ;Rheinland-Pfalz                                                           
         1078;        37;    51.30;     6.77;Düsseldorf                                                                      ;Nordrhein-Westfalen                                                       
         1103;       592;    48.10;    11.99;Ebersberg-Halbing                                                               ;Bayern                                                                    
         1107;       346;    49.85;    10.50;Ebrach                                                                          ;Bayern                                                                    
         1161;       384;    48.88;    11.24;Eichstätt-Landershofen                                                          ;Bayern                                                                    
         1197;       463;    48.99;    10.13;Ellwangen-Rindelbach                                                            ;Baden-Württemberg                                                         
         1200;         3;    54.07;     9.01;Elpersbüttel                                                                    ;Schleswig-Holstein                                                        
         1207;       558;    50.27;    12.27;Elster, Bad-Sohl                                                                ;Sachsen                                                                   
         1214;       431;    48.20;     8.11;Elzach-Fisnacht                                                                 ;Baden-Württemberg                                                         
         1224;       201;    48.14;     7.84;Emmendingen-Mundingen                                                           ;Baden-Württemberg                                                         
         1246;       104;    51.84;     8.06;Ennigerloh-Ostenfelde                                                           ;Nordrhein-Westfalen                                                       
         1255;       226;    49.17;     8.85;Eppingen-Elsenz                                                                 ;Baden-Württemberg                                                         
         1262;       446;    48.35;    11.81;München-Flughafen                                                               ;Bayern                                                                    
         1266;        18;    54.30;     9.32;Erfde                                                                           ;Schleswig-Holstein                                                        
         1270;       316;    50.98;    10.96;Erfurt-Weimar                                                                   ;Thüringen                                                                 
         1279;       268;    49.65;    11.01;Möhrendorf-Kleinseebach                                                         ;Bayern                                                                    
         1297;       156;    51.20;    10.01;Eschwege                                                                        ;Hessen                                                                    
         1300;       351;    51.25;     8.16;Eslohe                                                                          ;Nordrhein-Westfalen                                                       
         1303;       150;    51.40;     6.97;Essen-Bredeney                                                                  ;Nordrhein-Westfalen                                                       
         1327;       147;    50.71;     6.79;Weilerswist-Lommersum                                                           ;Nordrhein-Westfalen                                                       
         1332;       471;    48.48;    12.72;Falkenberg,Kr.Rottal-Inn                                                        ;Bayern                                                                    
         1339;        76;    52.92;    10.19;Faßberg                                                                         ;Niedersachsen                                                             
         1357;       655;    49.98;    11.84;Fichtelberg/Oberfranken-Hüttstadl                                               ;Bayern                                                                    
         1411;       747;    50.53;    10.05;Birx/Rhön                                                                       ;Thüringen                                                                 
         1420;       100;    50.03;     8.52;Frankfurt/Main                                                                  ;Hessen                                                                    
         1424;       121;    50.13;     8.67;Frankfurt/Main-Westend                                                          ;Hessen                                                                    
         1443;       236;    48.02;     7.83;Freiburg                                                                        ;Baden-Württemberg                                                         
         1451;         2;    53.83;     9.25;Freiburg/Elbe                                                                   ;Niedersachsen                                                             
         1468;       797;    48.45;     8.41;Freudenstadt                                                                    ;Baden-Württemberg                                                         
         1503;         6;    53.06;     7.90;Friesoythe-Altenoythe                                                           ;Niedersachsen                                                             
         1504;       172;    51.12;     9.28;Fritzlar/Eder                                                                   ;Hessen                                                                    
         1526;       242;    50.57;     9.65;Fulda-Horas                                                                     ;Hessen                                                                    
         1544;        47;    52.51;    11.39;Gardelegen                                                                      ;Sachsen-Anhalt                                                            
         1550;       719;    47.48;    11.06;Garmisch-Partenkirchen                                                          ;Bayern                                                                    
         1572;        80;    50.96;     6.04;Geilenkirchen-Neutevern                                                         ;Nordrhein-Westfalen                                                       
         1580;       111;    49.99;     7.95;Geisenheim                                                                      ;Hessen                                                                    
         1584;       673;    47.92;     8.65;Geisingen                                                                       ;Baden-Württemberg                                                         
         1587;       536;    48.95;    11.43;Gelbelsee                                                                       ;Bayern                                                                    
         1590;        37;    51.49;     6.25;Geldern-Walbeck                                                                 ;Nordrhein-Westfalen                                                       
         1602;       177;    48.43;     7.99;Ohlsbach                                                                        ;Baden-Württemberg                                                         
         1605;        35;    52.39;    12.16;Genthin                                                                         ;Sachsen-Anhalt                                                            
         1612;       311;    50.88;    12.13;Gera-Leumnitz                                                                   ;Thüringen                                                                 
         1639;       203;    50.60;     8.64;Gießen/Wettenberg                                                               ;Hessen                                                                    
         1645;       340;    50.97;     9.05;Gilserberg-Moischeid                                                            ;Hessen                                                                    
         1666;        12;    54.83;     9.51;Glücksburg-Meierwik                                                             ;Schleswig-Holstein                                                        
         1684;       238;    51.16;    14.95;Görlitz                                                                         ;Sachsen                                                                   
         1691;       167;    51.50;     9.95;Göttingen                                                                       ;Niedersachsen                                                             
